,job_name,job_section,link,cn_name
0,잡플래닛DataEngineer,잡플래닛 Data Engineer서비스 소개더 나은 선택은 없을까 지금 이 순간에도 잡플래닛을 방문하는 월 300만명의 회원들은 이것이 최선인지 고민합니다 그래서 잡플래닛은 취업과 이직이라는 인생의 갈림길에서 뒤돌아오지 않아도 되는 결정을 하는데 무엇이 필요한지 어떻게 해야 할지 고민합니다 동시에 안주하지 않고 쉼 없이 성장해 온 기업이 가치에 걸맞는 인정을 받을 수 있는 사회를 그립니다 모두가 잡플래닛 덕분에 더 편해 더 좋아졌어라고 말하는 세상을 꿈꾸며 구직자 기업 공공기관 등 모두가 더 나은 선택을 하는데 필요한 플랫폼을 만들어 갑니다구성원들의 커리어가 좋아지려면 어떻게 해야 할까 잡플래닛은 유저 뿐만 아니라 우리 팀의 커리어도 고민합니다 지금보다 더 매력적인 커리어가 되려면 무엇이 필요할까요 우리의 답은 2가지 입니다 첫째 더 나은 포트폴리오를 위해 개인의 권한과 프로듀싱 속도를 높이는 것 어디가도 성장 경험을 갖추었다고 납득할 만한 수치적 성장을 확보하는 것 이를 위해 조직을 애자일하게 움직이며 work scope보다 RR을 중시합니다 인위적이고 획일적인 문화보다는 사람 스트레스 없는 환경을 지향하며 경험이 주는 편견보다 데이터가 보여주는 의외의 논리를 신뢰합니다 둘째 우리 팀은 서로를 위해 회사의 성장을 고민합니다 그래서 서로에 대한 배려와 비전에 대한 공감대를 바탕으로 범국민적인 플랫폼을 만들어갑니다잡플래닛의 비전에 공감하는 분들의 많은 지원 부탁 드립니다잡플래닛에 대해 더욱 자세히 알아보기httpswwwnotionso12051b10bdbb4e77913ce9b645ab0579모집부문상세내용사용 기술TensorFlow Python Java NoSql Spark주요업무조직소개잡플래닛 Data Platform 팀은 Data 1st전략으로 서비스의 핵심 자산인 데이터의 최우선 활용을 위해 효율적인 데이터 수집정제저장분석 환경을 구축합니다 이를 위해 데이터플랫폼의 설계와 구축을 진행하고 안정적 운영을 담당합니다 DB Log Text Image 등 다양한 형태의 정형비정형 데이터를 모두 다루며 대용량 데이터로부터 인사이트를 효과적으로 뽑아낼 수 있는 기술적 기반을 제공하여 사업 성공에 중추적 역할을 합니다주요업무서비스에 대한 이해를 바탕으로 최적의 데이터 파이프라인 및 데이터 플랫폼 구축 및 운영클라우드 기반 빅데이터 처리 솔루션들의 이해를 바탕으로 Data Lake 및 DW구축일관성 있고 활용도 높은 통합 로깅 및 분산추적 시스템 설계 및 운영데이터 분석 및 머신러닝을 위한 Raw Data의 효율적 정제 및 데이터 구조 정의데이터분석 라이브러리를 활용하여 분석 환경 개발 및 배포데이터 특성에 맞는 다양한 질의 툴 및 시각화 툴 도입 및 적용자격요건3년 이상의 데이터 엔지니어링 실무 경험 또는 이에 준하는 실력을 갖춘 분7년 이상 경력의 경우 Team Lead로 지원 가능분산 환경에서 대용량 데이터 Batch 처리 또는 비동기 데이터 처리 경험이 있으신 분프로그래밍 언어 Scala Java Python 등등 와 데이터분석 라이브러리 한 개 이상 능숙하게 다룰 수 있는 분BigQuery Athena Databricks Snowflake등 클라우드 기반 데이터파이프라인 솔루션을 활용해보신 분Spark Kafka Hive등 Hadoop Ecosystem상의 다양한 툴들로 빅데이터플랫폼 구축 운영 경험이 있는 분우대사항빠르게 성장하는 서비스에서의 고가용성 데이터 플랫폼 설계 및 운영 경험데이터 분석 및 머신러닝 프랙티스에 대한 이해와 경험이 있는 분컨테이너 기반 개발 환경 및 MSA를 위한 데이터 인프라 구축 경험AWS architecture 설계나 운영 경험DB성능 개선이나 쿼리 튜닝에 경험이 있는 분DevOps나 SRE에 관심이 많고 인프라 자동화에 적극적인 분마감일 및 근무지마감일20221130 근무지서울 강남구 테헤란로 415 307호복지 및 혜택분 단위 시차 출퇴근제 오전 7시 오전 10시 사이 자율 출퇴근야근하지 마세요 그래도 하게 된다면 교통비 및 식대 지원합니다직원이 건강해야 회사도 건강하다매년 건강검진 지원오늘보다 내일 더올해보다 내년에 더 자기 개발비 지원각종 세미나 포럼 교육 참석 지원합니다잡플래닛 맴버 대소사 걱정을 덜어드리는 경조사비 지원매 월 마지막 금요일 Refresh할 수 있는 하프데이기본 연차 17개와 별도의 여름휴가 눈치보지 않는 휴가 사용의료비 더이상 걱정말아요 연 최대 200만원 의료비 지원즐거운 생일 회사에서만 보낼 수 없죠생일날은 나만의 하프데이업무 관련 도서구매 무제한두둥커피 음료 등 간식 무제한 제공은 화목내부 직원 추천 제도실력 있는 인재 추천에 대한 보상추천직원 6개월 근속 시 보상금 100만 원 지급,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44140328&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,주브레인커머스
1,Data분석엔지니어,Data 분석엔지니어서비스 소개소프트베리가 서비스하고 있는 전기차 충전 플랫폼 EV Infra는 2016년 서비스 출시 이후 2021년 2월 기준 17만 다운로드 전기차수 대비 회원수 92 구글 플레이스토어 전기차충전소 분야 1위에 랭크되고 있는 대한민국 1등 전기차 충전소 정보 앱 입니다 현재 EV Infra 앱과 함께 전기차 친환경차 기반 서비스 개발을 진행하고 있습니다 환경부 주관 전기자동차 모바일 앱 선발대회 대상 KB국민카드 FUTURE9 3기 최종선발기술창업지원 프로그램 팁스TIPS에 최종 선정SKT 사회적유망기업 Impact Ups 선정 본투글로벌 해외진출유럽지역 지원사업에 최종선정 현대차 그룹 ZER01NE 액셀레이터 프로그램 최종선정 되었으며 GS칼텍스SK렌터카현대차그룹제로원엔피프틴파트너스로 부터 투자유치를 하였으며 LG화학 GS칼텍스LG에너지솔루션현대자동차그룹등 충전환경 개선 및 신사업기회 발굴 MOU체결 등 빠르게 성장을 해나가고 있습니다 충전의 즐거움을 모두에게 제공하는것을 목표로 함께할 멋진 동료를 찾고 있습니다회사소개 동영상httpsyoutubeWj8VEFfwRyo모집부문상세내용사용 기술etl python grafana sql r spark docker dw aws kubernetes주요업무EV Infra앱및 충전 통계 데이터 개발 및 운영정형비정형 데이터에 대한 ETL 프로세스 설계 및 구현Datadriven의사결정을 위한 정량적 수치와 분석결과 제공Raw Data들을 정제가공적재하며 Insight전달을 위한 대시보드 및 리포트 작성가설 설정 및 검증을 위한 AB테스트 실험 설계결과 분석 및 전달자격요건해당 경력 2년차 이상 또는 이에 상응하는 업무 능력 보유Python R Spark 등을 활용한 데이터 프로세싱에 대한 이해가 있는분복잡하고 다양한 데이터셋 정제를 통한 서비스 문제 진단 경험이 있는 분우대사항통계학 예측 모델링 관련 석사 학위자 또는 해당 분야 전공자EVEV 인프라에 대한 높은 이해도와 데이터 분석경험자데이터 시각화Tableau Grafana등툴 활용 가능하신 분모바일 서비스 데이터 분석방법LTV AARRR Cohort Funnel 등에 대한 이해Data Warehouse 구축 지식 경험자SQL을 사용한 Raw Data핸들링 역량AWS kubernetes 및 클라우드 서비스 기반 빅데이터 인프라 구축 및 운영 경험Docker 환경에서 개발 경험마감일 및 근무지마감일상시 근무지서울시 서초구 강남대로 311 강남드림플러스 10층복지 및 혜택업무 시간을 자율적으로 운영하는 유연근무제 코어타임1116시월 1회 문화의날 지정 조기 퇴근개발디자인 직군 최신사양 랩톱 및 Dell 모니터 지급사무실 건물 카페테리아 운영개발성과 및 매출실적에 따라 인센티브 지급연차별 장기근속포상건강검진지원도서비 지원해 드려요 책을 가까이재택근무 가능코로나19 환경협의하여 조정연차는 언제든지 자유롭게 사용하세요당신의 개성을 존중합니다 복장은 터치하지 않아요커피 tea 간식 등을 언제든 마음껏 먹을 수 있어요함께 일했을 때 뛰어난 동료를 우리가 뽑아요 우수사원 포상같이 웃고 같이 슬퍼해요 각종 경조 휴가 및 경조금 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=41807100&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,주소프트베리
2,바이오제약사DataandAIEngineer모집,Position and RoleData and AI Engineer 공통사항신약개발 알고리즘 개발 구현 및 플랫폼 구축전사체 데이터 분석 및 이를 이용한 예측 모델 개발약물 발굴 및 개발 플랫폼 구축1Data engineeru 생물학 데이터 Omics data 분석 및 해석u 기초 통계분석 및 시각화u Data featurization 및 Data IO 개선2AI Engineeru 생물학 데이터 Omics data 기반 알고리즘 개발 및 구현u Code optimization platform architecture 설계 및 구현자격 요건Requirementsn 경력 무관국적 무관전문연구요원 가능n Stack Python pytorch 또는 TensorFlow scipy statsmodels 등n Data science 관련 연구 경험n 통계학 기계학습 관련 연구 또는 개발 경험n Communication이 잘 되는 분이어야 합니다n Team project를 원만히 수행하고 협업할 수 있는 분이어야 합니다n 본인이 하고 싶은 연구에 대해 방향성이 있는 분이어야 합니다우대사항 preferentialn 신약개발을 통해 공익에 기여하고자 하는 분이어야 합니다 CS AI 관련 탑티어 학회지 게재 AAAI NeurIPS 등n 생물학 데이터를 다뤄 본 경험이 있거나 관심 있는 분 또는 일반생물학 General Biology 수강 경험복리 후생 선택적 근로시간제 운영출퇴근 자유 본인 편한시간 근무 주40시간 근무제하루최소 2시간 한달평균 주 40시간전 직원 스톡옵션 부여 임직원 종합건강검진 지원 중식비 연봉 외 별도 지급퇴직연금DC형 가입 근로자휴가지원사업 참여 청년내일채움공제 참여급여 조건 면접시 협의전형 절차 서류전형1차 면접실무 임원2차 면접대표이사근무지서울 마포함께하기 위한 방법접수기간2022년 11월 09일 수07시 00분상시채용접수방법사람인 입사지원이력서양식사람인 이력서 양식함께하기 위한 여정서류전형1차면접2차면접최종합격,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44391704&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,주에이치알타운
3,BioinformaticianSystemsBiologistDataandAIEngineer,공통 자격요건학력석사 이상Data and AI Engineer 0명담당업무Position and RoleData and AI Engineer 공통사항신약개발 알고리즘 개발 구현 및 플랫폼 구축전사체 데이터 분석 및 이를 이용한 예측 모델 개발약물 발굴 및 개발 플랫폼 구축1Data engineeru 생물학 데이터 Omics data 분석 및 해석u 기초 통계분석 및 시각화u Data featurization 및 Data IO 개선2AI Engineeru 생물학 데이터 Omics data 기반 알고리즘 개발 및 구현u Code optimization platform architecture 설계 및 구현 자격 요건Requirementsn 경력 무관국적 무관전문연구요원 가능n Stack Python pytorch 또는 TensorFlow scipy statsmodels 등n Data science 관련 연구 경험n 통계학 기계학습 관련 연구 또는 개발 경험n Communication이 잘 되는 분이어야 합니다n Team project를 원만히 수행하고 협업할 수 있는 분이어야 합니다n 본인이 하고 싶은 연구에 대해 방향성이 있는 분이어야 합니다 우대사항 preferentialn 신약개발을 통해 공익에 기여하고자 하는 분이어야 합니다 CS AI 관련 탑티어 학회지 게재 AAAI NeurIPS 등n 생물학 데이터를 다뤄 본 경험이 있거나 관심 있는 분 또는 일반생물학 General Biology 수강 경험기타 필수 사항우대사항BioinformaticianSystems Biolo 0명담당업무Position and RoleBioinformaticianSystems biologist 공통사항전사체를 이용한 신약개발 관련 알고리즘 개발Multiomics data 분석 및 omics integration 알고리즘 개발Spatiotemporal data 분석 및 예측 모델 개발1Bioinformaticianu NGS data 전처리 분석 및 해석u Omics data 해석 및 예측 방법론 개발 및 구현2Systems biologistu Multiomics data integration 방법론 개발u Gene ontology 기반의 network biology 모델 개발 자격 요건 Requirementsn 경력 무관국적 무관전문연구요원 가능n Stack Pythonn 생물학의약시스템생물학생물공학 관련 전공 또는 관련 직무 경험n NGS 데이터 분석 경험 특히 RNAseq scRNAseqn Communication이 잘 되는 분이어야 합니다n Team project를 원만히 수행하고 협업할 수 있는 분이어야 합니다n 본인이 하고 싶은 연구에 대해 방향성이 있는 분이어야 합니다 우대사항 preferentialn Network biology Reaction velocity theory Physiology Histology 등의 지식 보유n BioinformaticsSystems biology 관련 논문 게재n R Bioconductor 기반 packages,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44391702&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,주에이치알타운
4,대기업DATA엔지니어,대기업 DATA 엔지니어모집부문 및 자격요건모집부문 수행 예정 직무 자격요건 근무지DATA 엔지니어 1 분석 및 모델 개발에 필요한 데이터를합리적으로 표준화 하여 빅데이터 시스템구축빅데이터 시스템 아키텍처 설계빅데이터 시스템의 자료 구조 및 시스템활용으로 분석에 적합한 데이터 생성2 데이터 분석 및 통합데이터 소스 분석을 통한 엡무 데이터의통합 및 데이터 마트 구성다양한 ETL 기술을 통한 데이터 처리Hadoop Hlive Spark 등 대용량 분산처리및 시스템의 운영전처리 자연 요소 및 분석 단계의 시스템개선 니즈 파악 및 해당 관리부서 의견전달 후 개선점 도출3 신 기술 도입 및 운영 전략 수립클라우드 기반의 데이터 분석 소프트웨어전략 수립OSSOpen Source Software의 전략 및프로젝트 추진 학력학사이상경력경력 5년11년 정도의대리과장급ETL 기술 및 프레임 워크에 대한 지식 Hadoop Hlive Spark 등 대용량 분산처리Map Reduce HDFS에 대한 이해 SPARK 사용 가능자 다수의 데이터 소스 통합 경험HBase NoSQL우대사항 데이터베이스 테이터 표준화 역량 지식 보유 분석언어RPythonSQLNoSQL 사용 및자격증 보유자 Hadoop 구축 및 사용 경험자 서울 중구복리후생지원금보험의료비지원본인 직원대출제도 각종 경조사 지원 선택적복리후생 복지카드포인트주요 제품 직원 할인 자녀학자금급여제도상여금 퇴직금 4대 보험교육생활창립일행사 도서구입비지원 교육비 지원 자기계발비 지원 해외주재원 제도근무 환경자회사 제품할인리프레시연차 여름휴가 경조휴가제 반차 창립일휴무 근로자의 날 휴무 육아휴직전형절차제출서류이력서 자기소개서접수 방법사람인 온라인 입사지원문의사항담당자백상기상무연락처02852022001036467475메일bskmanscoutcokr,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44424041&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,맨파워스카우트
5,금융대기업계열사DataEngineer채용,공통 자격요건학력대졸 이상 4년Data Engineer 채용 0명담당업무담당업무 데이터와 외부 데이터를 활용하여 다양한 관점에서 분석이 가능하도록 데이터 아키텍처를 설계하고 플랫폼을 구축 AWS 기반의 Data Lake 및 Data Pipeline을 구축하고 관련 API를 개발 실시간 Batch 적재 파이프라인 및 정형비정형 데이터 파이프라인 등 다양한 파이프라인을 구축하고 운영 Databricks Snowflake 등 새로운 플랫폼을 바탕으로 데이터 아키텍처 설계 이외 Data Scientist Data Analyst ML Ops에서 활용 가능한 다양한 분석 환경을 구축하고 운영자격요건 4년제대졸이상 3년 이상의 데이터 엔지니어링 실무 경력이 있으신 분 관련경력 35년 클라우드 서비스AWS GCP Azure 등 활용 경험이 있는 분 AWS 의 경우 Glue EC2 S3 Athena Lambda Redshift EMR 등 Python SQL Scala Java 중 한 가지 이상의 언어로 개발이 가능한 분 데이터 분석가와 원활한 소통을 위한 쿼리 작성 능력을 갖춘 분 새로운 기술에 대한 관심과 호기심이 많으신 분우대사항 클라우드 플랫폼을 활용해 데이터 설계구축운영 업무를 수행하신 분 대용량 데이터 처리에 대한 설계 또는 구축 경험이 있으신 분 Apache Spark 프로젝트와 그 결과물에 대한 관심 또는 경험이 있으신 분 클라우드 관련 혹은 기타 IT 자격증을 보유하신 분전형절차서류전형12차 면접전형제출서류국문이력서경력기술서자기소개서 이메일 제출 hjleehumaninsearchcom담당자이혜진이사 01041191789hjleehumaninsearchcom기타 필수 사항우대사항,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44447752&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,휴먼인써치
6,긴급업계최고대기업DataEngineer최우대진행중, 긴급 업계 최고 대기업빅데이터 파이프라인 구축 및 데이터 처리최우대현재 진행중임포지션Data Engineer업체정보업계 12위에 소비재 대기업 근무분위기 Good 복리후생이나 연차제도 잘 되어있음 만족도 후기 높은회사임업무내용빅데이터 파이프라인 구축 및 데이터 처리AWS Cloud자격요건학력 학력 무관경력년수유관 경력 총 3년 이상자격요건빅데이터 파이프라인 구조 설계 및 구축 경험HadoopEco 또는 AWS Managed Service를 이용한 데이터 시스템 개발운영 경험Hive Spark Presto 중 1개 이상을 활용한 시스템 개발운영 경험배치 또는 스트리밍 ETL 관련 모듈 개발 경험자바 파이썬 스칼라 등을 이용한 데이터 분석 프로그램 구현 경험우대사항하기 1개이상 경험자 반듯이 지원요망클라우드 환경 데이터 인프라환경에서의 데이터데이터 파이프라인 개발 경험 AWS Google자 최우대AWS 서비스 활용 경험 EMR Kinesis MSK Glue Athena Redshift Lambda 자 최우대AIMLOps Pipeline 구축 및 개발운영 경험자 최우대Kafka Kinesis 기반 스트리밍 시스템 개발운영 경험자 최우대NoSQL 사용 경험자 최우대PoC 및 프로토타이핑을 통한 오픈소스 기술 검증 경험자 최우대오픈소스 및 기술 스텍에 대한 오픈 마인드 보유자 최우대 연봉 협의 가능 적임자 최우대 근무지 서울 빠른 지원 부탁드립니다 적임자 지원시 바로 마감예정 조기마감 예상현재 진행중인 공고임전형절차 서류전형 후 면접전형 제출서류제출서류국문이력서사진필첨 국문경력기술서경력업체소개매출인원업종현연봉상세 희망연봉퇴사사유국문자기소개서 워드1개화일로 송부요망제출처이메일 입사지원 andersonhumaraincokr휴머레인컨설팅 대표 컨설턴트 Anderson Lee 1 지원전 회사오픈은 어렵습니다2 적임잡포탈지원 포함자에 한해 개별연락예정이오니 많은 양해부탁드립니다 상기 공고는 Urgent 함으로 적임자 발생시 바로 채용예정 가급적 빠른 지원바랍니다반드시 사진 생년월일 업무상강점 주요업무성과 경력업체소개매출인원업종 등 현재희망연봉 이직가능시기 기재이력서 기재내용 및 제출서류에 허위사실이 확인되는 경우 합격이 취소될 수 있습니다 ,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44467294&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,휴머레인컨설팅
7,긴급DataEngineer업계최고대기업최우대진행중, 긴급 빅데이터 파이프라인 구축 및 데이터 처리업계 최고 대기업최우대현재 진행중임포지션Data Engineer업체정보업계 12위에 소비재 대기업 근무분위기 Good 복리후생이나 연차제도 잘 되어있음 만족도 후기 높은회사임업무내용빅데이터 파이프라인 구축 및 데이터 처리AWS Cloud자격요건학력 학력 무관경력년수유관 경력 총 3년 이상자격요건빅데이터 파이프라인 구조 설계 및 구축 경험HadoopEco 또는 AWS Managed Service를 이용한 데이터 시스템 개발운영 경험Hive Spark Presto 중 1개 이상을 활용한 시스템 개발운영 경험배치 또는 스트리밍 ETL 관련 모듈 개발 경험자바 파이썬 스칼라 등을 이용한 데이터 분석 프로그램 구현 경험우대사항하기 1개이상 경험자 반듯이 지원요망클라우드 환경 데이터 인프라환경에서의 데이터데이터 파이프라인 개발 경험 AWS Google자 최우대AWS 서비스 활용 경험 EMR Kinesis MSK Glue Athena Redshift Lambda 자 최우대AIMLOps Pipeline 구축 및 개발운영 경험자 최우대Kafka Kinesis 기반 스트리밍 시스템 개발운영 경험자 최우대NoSQL 사용 경험자 최우대PoC 및 프로토타이핑을 통한 오픈소스 기술 검증 경험자 최우대오픈소스 및 기술 스텍에 대한 오픈 마인드 보유자 최우대 연봉 협의 가능 적임자 최우대 근무지 서울 빠른 지원 부탁드립니다 적임자 지원시 바로 마감예정 조기마감 예상현재 진행중인 공고임전형절차 서류전형 후 면접전형 제출서류국문이력서 경력기술서 자기소개서MS WORD로 작성 후 1개의 화일로 송부 바랍니다 제출처jamiehumaraincokr 문의처Jamie01086774401반드시 이력서 송부 후 가급적 이메일로 문의부탁드립니다 잦은 미팅과 출장으로 통화가 어렵습니다1 지원전 회사오픈은 어렵습니다2 적임잡포탈지원 포함자에 한해 개별연락예정이오니 많은 양해부탁드립니다 반드시 사진 생년월일 업무상강점 주요업무성과 경력업체소개매출인원업종 등 현재희망연봉 이직가능시기 기재이력서 기재내용 및 제출서류에 허위사실이 확인되는 경우 합격이 취소될 수 있습니다,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44467295&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,휴머레인컨설팅
8,NICE지니데이타클라우드엔지니어하둡채용,NICE지니데이타는 국내 최대 정보회사인 NICE평가정보의 100자회사이며 시장분석정보 및 컨설팅서비스를 제공하는 전문 빅데이터 컨설팅 기업입니다 데이터의 표면적 가치가 아닌 잠재적 가치를 고려하여 데이터를 선별하며 공공 금융 유통 제조 등 다양한 기업고객에게 시장 트렌드 및 고객분석을 위한 마케팅 데이터와 컨설팅 서비스를 제공합니다 또한 개인사업자의 성공 창업을 위한 상권정보 외식업 CEO 교육 등 다양한 솔루션도 제공합니다미래혁신 사업팀에서 함께 할 업무에요퍼블릭 클라우드AWS 환경을 설계하고 직접 구축하며 지속적으로 개선하는 일을 해요퍼블릭 클라우드AWS가 안정적으로 운영될 수 있도록 모니터링 시스템을 만들고 관리하는 일을 해요퍼블릭 클라우드AWS으로 하둡에코시스템을 마이그레이션하는 업무 수행해요이런 분을 찾고 있어요퍼블릭 클라우드AWS 기본 구조 설계부터 개발운영 경험이 1년 이상인 분을 찾아요Infrastructure as Code를 이해하고 구현할 수 있는 분 Terraform CDK을 찾아요이런 분이면 더 좋아요하둡 Spark 등 빅데이터 플랫폼 구축운영 경험이 있으신 분이면 더 좋아요시스템 아키텍쳐 설계 및 구축운영 경험이 있으신 분이면 더 좋아요클라우드 AWS 자격증 보유하면 더 좋아요함께하면 받는 혜택 및 복지복지카드와 자기개발비 그리고 경조금과 경조휴가를 드려요매주 금요일 패밀리데이로 5시 퇴근해요체력단련 유급휴가가 1년에 7개 있어요교육비 자격증 취득 비용을 지원해요1년에 한번씩 건강검진을 지원해요알아두기허위 이력서 작성시 입사 취소될 수 있어요함께하기 위한 방법접수기간2022년 10월 24일 월15시 00분2022년 11월 20일 일 23시 59분접수방법사람인 입사지원이력서양식사람인 이력서 양식함께하기 위한 여정서류전형1차면접2차면접최종합격,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44275507&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,나이스지니데이타주식회사
9,DataEngineer,모집부문 Data Engineer 지원자격 학력무관 경력 3년이상 근무지역 서울 강남구 역삼동 706 위워크타워 모집인원 0명 채용일정 20221130수 2359까지 채용시 마감 상세 모집요강 및 접수방법은 홈페이지 지원 참조,https://www.saramin.co.kr/zf_user/jobs/relay/view-detail?rec_idx=44319568&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=eab22c97-5b35-4e0b-a2f8-155ec5dab4c2&rec_seq=0&t_category=relay_view&t_content=view_detail&t_ref=&t_ref_content=,주클래스101
